date,open,high,low,close,volume
2024-03-15,1.08845,1.08996,1.08729,1.08872,34272
2024-03-18,1.08881,1.0906,1.08661,1.08728,30867
2024-03-19,1.08708,1.08765,1.08347,1.08645,39537
2024-03-20,1.08642,1.09227,1.08364,1.09205,40642
2024-03-21,1.09196,1.09426,1.08528,1.08596,45886
2024-03-22,1.08596,1.08679,1.08017,1.08062,36766
2024-03-25,1.08062,1.08423,1.08022,1.08355,29143
2024-03-26,1.08355,1.08643,1.08243,1.08312,35376
2024-03-27,1.08312,1.08391,1.08107,1.08262,36081
2024-03-28,1.08261,1.0826500000000001,1.0775,1.07881,40574
2024-03-29,1.07872,1.08052,1.07678,1.07917,21957
2024-04-01,1.0787,1.07987,1.07309,1.07422,30356
2024-04-02,1.07423,1.0779,1.07246,1.07687,37828
2024-04-03,1.07685,1.08369,1.0764,1.08355,39180
2024-04-04,1.08352,1.08764,1.08292,1.08362,33917
2024-04-05,1.08361,1.08479,1.07912,1.08363,43220
2024-04-08,1.0836999999999999,1.08622,1.08209,1.08585,35521
2024-04-09,1.08582,1.0885,1.08471,1.08563,31556
2024-04-10,1.08558,1.08664,1.07287,1.07416,48832
2024-04-11,1.07415,1.07563,1.06992,1.07252,50094
2024-04-12,1.07251,1.07289,1.06225,1.06406,46114
2024-04-15,1.0636,1.06651,1.06203,1.06237,52069
2024-04-16,1.06234,1.06536,1.0601099999999999,1.06181,56286
2024-04-17,1.0618,1.06796,1.06061,1.0672,51050
2024-04-18,1.06702,1.069,1.06408,1.06425,48750
2024-04-19,1.06424,1.06775,1.06104,1.06557,66176
2024-04-22,1.06526,1.06706,1.0624,1.06539,32700
2024-04-23,1.06521,1.07112,1.06385,1.07006,33404
2024-04-24,1.07006,1.07141,1.06779,1.0698,29785
2024-04-25,1.06982,1.07402,1.06784,1.0729,34908
2024-04-26,1.07283,1.07527,1.0674,1.06922,33357
2024-04-29,1.0694,1.07337,1.06865,1.072,38304
2024-04-30,1.07197,1.07353,1.0663,1.0665499999999999,36356
2024-05-01,1.0665,1.07327,1.06494,1.07089,34352
2024-05-02,1.07096,1.07302,1.06742,1.07245,38832
2024-05-03,1.0722,1.0812,1.07192,1.07611,36956
2024-05-06,1.0763,1.07908,1.07552,1.07676,26333
2024-05-07,1.07678,1.07874,1.07479,1.07538,30765
2024-05-08,1.07534,1.07574,1.0735,1.07476,26124
2024-05-09,1.07476,1.07843,1.07239,1.07816,29304
2024-05-10,1.07812,1.07901,1.07603,1.07694,29446
2024-05-13,1.07686,1.08068,1.07648,1.07893,25002
2024-05-14,1.07882,1.08256,1.07664,1.08182,27034
2024-05-15,1.08172,1.08857,1.08131,1.08837,32000
2024-05-16,1.08837,1.08949,1.08544,1.08663,31296
2024-05-17,1.08662,1.08783,1.08358,1.08685,26821
2024-05-20,1.0867,1.08845,1.08535,1.08561,26875
2024-05-21,1.08557,1.08748,1.08429,1.08532,30456
2024-05-22,1.08518,1.08634,1.08174,1.08221,31390
2024-05-23,1.08214,1.0861,1.08047,1.08144,35204
2024-05-24,1.08141,1.08578,1.08054,1.08457,30316
2024-05-27,1.0848,1.08674,1.08409,1.08581,18390
2024-05-28,1.08564,1.0889,1.08506,1.08559,33911
2024-05-29,1.08555,1.08588,1.07994,1.08003,33542
2024-05-30,1.08003,1.08451,1.07885,1.08313,35848
2024-05-31,1.0830899999999999,1.08822,1.08112,1.08474,38906
